mmsi,imo
102810,IMO0004711
205087000,IMO9713478
205118000,IMO9434931
205125000,IMO9703411
205221000,IMO9700005
205410000,IMO9955571
205544000,IMO9683271
205700000,IMO9748368
205717000,IMO9748485
205728000,IMO9607576
205776000,IMO9846079
205783000,IMO9575668
205789000,IMO9846081
205790000,IMO9715816
207138000,IMO9553983
209004000,IMO9689835
209008000,IMO9415222
209012000,IMO9401960
209017000,IMO9416719
209026000,IMO9256884
209087000,IMO9719874
209109000,IMO9426881
209156000,IMO9287340
209172000,IMO9438676
209182000,IMO9459979
209184000,IMO9612325
209191000,IMO9592123
209218000,IMO9236078
209251000,IMO9307229
209289000,IMO9220976
209316000,IMO9220988
209317000,IMO9309485
209355000,IMO9432153
209384000,IMO9402287
209393000,IMO9236080
209423000,IMO9247754
209425000,IMO9509803
209430000,IMO9453406
209438000,IMO9309497
209443000,IMO9638173
209444000,IMO9507714
209451000,IMO9594494
209470000,IMO9247742
209497000,IMO9302762
209504000,IMO9517422
209520000,IMO9317925
209550000,IMO9285990
209559000,IMO9247730
209565000,IMO9697143
209566000,IMO9959149
209596000,IMO9518919
209607000,IMO9852810
209613000,IMO9266542
209615000,IMO9247766
209631000,IMO9382097
209641000,IMO9167980
209652000,IMO9975466
209677000,IMO9516399
209697000,IMO9403451
209699000,IMO9406934
209705000,IMO9364356
209716000,IMO9262704
209721000,IMO9595266
209722000,IMO9453377
209729000,IMO9274264
209761000,IMO9460904
209766000,IMO9650169
209783000,IMO9698226
209786000,IMO9604952
209795000,IMO9450595
209798000,IMO9450583
209831000,IMO9975478
209850000,IMO9355422
209854000,IMO9381524
209862000,IMO9395032
209877000,IMO9875135
209882000,IMO9181156
209888000,IMO9848730
209889000,IMO9317834
209891000,IMO9961439
209919000,IMO9453391
209920000,IMO9299630
209933000,IMO9426867
209941000,IMO9591600
209964000,IMO9843766
209979000,IMO9307243
210007000,IMO9478810
210014000,IMO9278430
210028000,IMO9866249
210059000,IMO9255050
210065000,IMO9333369
210069000,IMO9510694
210070000,IMO9848742
210073000,IMO9296626
210083000,IMO9454905
210085000,IMO9843443
210136000,IMO9454917
210146000,IMO9227376
210159000,IMO9395070
210185000,IMO9620994
210188000,IMO9542491
210195000,IMO9866251
210208000,IMO9337224
210210000,IMO9857432
210232000,IMO9958755
210234000,IMO9380805
210247000,IMO9491599
210261000,IMO9609691
210266000,IMO9639684
210296000,IMO9430090
210308000,IMO7713125
210355000,IMO9544750
210358000,IMO9326536
210361000,IMO9449699
210367000,IMO9319595
210427000,IMO9447005
210464000,IMO9239812
210469000,IMO9337092
210470000,IMO9932737
210499000,IMO9113202
210503000,IMO9359935
210505000,IMO9932749
210509000,IMO9609720
210514000,IMO9664275
210517000,IMO9374973
210558000,IMO9558696
210589000,IMO9698862
210602000,IMO9316971
210604000,IMO9313931
210610000,IMO9302619
210614000,IMO9602435
210638000,IMO9731389
210653000,IMO9337444
210655000,IMO9729350
210702000,IMO9675676
210737000,IMO9292618
210740000,IMO9347750
210749000,IMO9406922
210764000,IMO9637131
210777000,IMO9255062
210786000,IMO9300752
210815000,IMO9393589
210843000,IMO9393553
210858000,IMO9546784
210875000,IMO9438121
210885000,IMO9313929
210905000,IMO9395123
210925000,IMO9313204
210930000,IMO9700859
210950000,IMO9395044
210953000,IMO9688843
210959000,IMO9330941
210969000,IMO9718454
210970000,IMO9323912
210990000,IMO9976642
210998000,IMO9393539
210999999,IMO9999999
211256150,IMO9336189
211311970,IMO9193288
211327410,IMO9193290
211331640,IMO9193305
211335760,IMO9193317
211549000,IMO9501344
211577000,IMO9458901
211578000,IMO9613020
211779000,IMO9252565
211839000,IMO9295268
212040000,IMO9416721
212054000,IMO9277711
212091000,IMO9436460
212093000,IMO9409742
212122000,IMO9750036
212125000,IMO9376000
212138000,IMO9668881
212139000,IMO9468786
212175000,IMO9285988
212205000,IMO9652519
212210000,IMO9692703
212215000,IMO9459981
212250000,IMO9667368
212258000,IMO9467550
212275000,IMO9426879
212276000,IMO9360910
212282000,IMO9675602
212287000,IMO9393577
212300000,IMO9697961
212301000,IMO9697973
212303000,IMO9539365
212314000,IMO9393565
212321000,IMO9317468
212337000,IMO9393149
